Project	Cell_Type	Genotype	Bio_Rep	Tech_Rep	Seq_Rep	Read1	Read2	Sequencing_Directory	merged_nodups	inter	inter30
KDM5	HEK293T	WT	1	1	1	WT_1_CKDL230016154-1A_H5WY3DSX7_L3_1.fq.gz	WT_1_CKDL230016154-1A_H5WY3DSX7_L3_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/WT_1	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	WT	2	1	1	WT_2_CKDL230016154-1A_H5WY3DSX7_L3_1.fq.gz	WT_2_CKDL230016154-1A_H5WY3DSX7_L3_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/WT_2	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	HOXA9	1	1	1	HOXA9_1_CKDL230016154-1A_H5WY3DSX7_L3_1.fq.gz	HOXA9_1_CKDL230016154-1A_H5WY3DSX7_L3_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/HOXA9_1	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	HOXA9	2	1	1	HOXA9_2_CKDL230016154-1A_H5WY3DSX7_L3_1.fq.gz	HOXA9_2_CKDL230016154-1A_H5WY3DSX7_L3_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/HOXA9_2	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	KDM5	1	1	1	KDM5_1_CKDL230016154-1A_H5WY3DSX7_L3_1.fq.gz	KDM5_1_CKDL230016154-1A_H5WY3DSX7_L3_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/KDM5_1	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	KDM5	2	1	1	KDM5_2_CKDL230016154-1A_H5WY3DSX7_L3_1.fq.gz	KDM5_2_CKDL230016154-1A_H5WY3DSX7_L3_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/KDM5_2	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	WT	3	1	1	WT_3_CKDL230016155-1A_H5WY3DSX7_L4_1.fq.gz	WT_3_CKDL230016155-1A_H5WY3DSX7_L4_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/WT_3	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	WT	4	1	1	WT_4_CKDL230016155-1A_H5WY3DSX7_L4_1.fq.gz	WT_4_CKDL230016155-1A_H5WY3DSX7_L4_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/WT_4	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	HOXA9	3	1	1	HOXA9_3_CKDL230016155-1A_H5WY3DSX7_L4_1.fq.gz	HOXA9_3_CKDL230016155-1A_H5WY3DSX7_L4_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/HOXA9_3	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	HOXA9	4	1	1	HOXA9_4_CKDL230016155-1A_H5WY3DSX7_L4_1.fq.gz	HOXA9_4_CKDL230016155-1A_H5WY3DSX7_L4_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/HOXA9_4	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	KDM5	3	1	1	KDM5_3_CKDL230016155-1A_H5WY3DSX7_L4_1.fq.gz	KDM5_3_CKDL230016155-1A_H5WY3DSX7_L4_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/KDM5_3	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
KDM5	HEK293T	KDM5	4	1	1	KDM5_4_CKDL230016155-1A_H5WY3DSX7_L4_1.fq.gz	KDM5_4_CKDL230016155-1A_H5WY3DSX7_L4_2.fq.gz	/work/users/j/p/jpflores/Share/KDM5/fastq/usftp21.novogene.com/01.RawData/KDM5_4	/path/to/merged_nodups.txt.gz	/path/to/inter.txt	/path/to/inter_30.txt
